papel,chamadas,chamadas_por_dia,ms_medio,consulta
service_role,11894,52,0.5,"WITH pgrst_source AS (INSERT INTO ""public"".""composicoes_biblioteca""(""codigo"", ""criador_nome"", ""descricao"", ""fonte"", ""itens"", ""subcategoria"", ""unidade"", ""usuario"") SELECT ""pgrst_body"".""codigo"", ""pgrst_body"".""criador_nome"", ""pgrst_body"".""descricao"", ""pgrst_body"".""fonte"", ""pgrst_body"".""itens"", ""pgrst_body"".""subcategoria"", ""pgrst_body"".""unidade"", ""pgrst_body"".""usuario"" FROM (SELECT $1 AS json_data) pg"
service_role,11848,51,2.6,"WITH pgrst_source AS (SELECT pgrst_call.pgrst_scalar FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""p_processo_id"" FROM json_to_record(pgrst_payload.json_data) AS _(""p_processo_id"" uuid) LIMIT $4) pgrst_body , LATERAL (SELECT ""public"".""atualizar_tempo_suite_processo""(""p_processo_id"" := pgrst_body.""p_processo_id"") pgrst_scalar) pgrst_call) SELECT $5::bigint AS total_result_set, $6 AS"
anon,10129,44,5.8,"WITH pgrst_source AS ( SELECT ""public"".""app_atividades"".* FROM ""public"".""app_atividades"" ORDER BY ""public"".""app_atividades"".""created_at"" DESC LIMIT $1 OFFSET $2 ) SELECT $3::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $4) AS body, nullif(current_setting($5, $6), $7) AS response_headers, nullif(current_setting($8, $9), $10) AS response_"
service_role,7796,34,0.4,"WITH pgrst_source AS (UPDATE ""public"".""processos"" SET ""arquivado_check_em"" = ""pgrst_body"".""arquivado_check_em"", ""suite_data_chegada"" = ""pgrst_body"".""suite_data_chegada"" FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""arquivado_check_em"", ""suite_data_chegada"" FROM json_to_record(pgrst_payload.json_data) AS _(""arquivado_check_em"" timestamp with time zone, ""suite_data_chegada"" timestamp"
anon,7417,32,89.9,"WITH pgrst_source AS ( SELECT ""public"".""composicoes_biblioteca"".* FROM ""public"".""composicoes_biblioteca"" ORDER BY ""public"".""composicoes_biblioteca"".""usuario"" ASC , ""public"".""composicoes_biblioteca"".""subcategoria"" ASC , ""public"".""composicoes_biblioteca"".""descricao"" ASC LIMIT $1 OFFSET $2 ) SELECT $3::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgr"
service_role,6733,29,0.0,COMMIT
anon,6223,27,0.7,"WITH pgrst_source AS (UPDATE ""public"".""processos"" SET ""data_compromisso_fiscal"" = ""pgrst_body"".""data_compromisso_fiscal"" FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""data_compromisso_fiscal"" FROM json_to_record(pgrst_payload.json_data) AS _(""data_compromisso_fiscal"" date) ) pgrst_body WHERE ""public"".""processos"".""id"" = $2 RETURNING $3) SELECT $4 AS total_result_set, pg_catalog.coun"
authenticated,6108,27,0.4,"WITH pgrst_source AS ( SELECT ""public"".""app_users"".""role"" FROM ""public"".""app_users"" WHERE ""public"".""app_users"".""email"" = $1 LIMIT $2 OFFSET $3 ) SELECT $4::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $5) AS body, nullif(current_setting($6, $7), $8) AS response_headers, nullif(current_setting($9, $10), $11) AS response_status, $12 AS re"
anon,6079,26,0.0,"WITH pgrst_source AS (UPDATE ""public"".""seinfra_itens"" SET ""composicao"" = ""pgrst_body"".""composicao"" FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""composicao"" FROM json_to_record(pgrst_payload.json_data) AS _(""composicao"" jsonb) ) pgrst_body WHERE ""public"".""seinfra_itens"".""codigo"" = $2 AND ""public"".""seinfra_itens"".""tipo_encargo"" = ANY ($3) RETURNING $4) SELECT $5 AS total_result_set,"
authenticated,5440,24,5.3,"WITH pgrst_source AS ( SELECT ""public"".""orcamentos_biblioteca"".* FROM ""public"".""orcamentos_biblioteca"" ORDER BY ""public"".""orcamentos_biblioteca"".""categoria"" ASC , ""public"".""orcamentos_biblioteca"".""subcategoria"" ASC , ""public"".""orcamentos_biblioteca"".""nome_obra"" ASC LIMIT $1 OFFSET $2 ) SELECT $3::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest"
